id,internship_name,company,stipend,posted,portal,applied_date,call_back
2222959,Data Science,StartupXY LLP,"₹ 5,000 /month",Just now,internshala,2023-07-07,
2225565,AR/VR Development,IQ TechMax Private Limited,"₹ 5,000 /month",Today,internshala,2023-07-07,
2219043,Virtual Reality Development,Tech Innovation Enthusiastic Squad Private Limited,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2215037,Computer Vision,Experiences.digital,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2209300,Flutter Development,Software Kernel,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2217873,Web Development,Shubh International,"₹ 6,000 /month",unknown,internshala,2023-07-07,
2219219,Flutter Development,Ostello India Private Limited,"₹ 5,000-8,000 /month",unknown,internshala,2023-07-07,
2222696,React Native,CloudZies,"₹ 7,000-8,000 /month",Today,internshala,2023-07-07,
2197067,Flutter Development,TheDigitalShift,"₹ 7,000 /month",unknown,internshala,2023-07-07,
2218790,Research Analysis,Eubrics,"₹ 7,000 /month",unknown,internshala,2023-07-07,
2221382,Flutter Development,Farmint Technology,"₹ 6,000-10,000 /month",1 day ago,internshala,2023-07-07,
2225888,Database Building/Management,Infoware,"₹ 6,000-8,000 /month",Today,internshala,2023-07-07,
2218772,ASP.NET Development,Prometheus Solutions Private Limited,"₹ 6,000-8,000 /month",unknown,internshala,2023-07-07,
2213568,Flutter Development,Mikki.Ai,"₹ 6,000 /month",unknown,internshala,2023-07-07,
2225064,Full Stack Development,Digital Ipsum,"₹ 6,000 /month",1 day ago,internshala,2023-07-07,
2222461,Full Stack Development,Zeppstr,"₹ 6,000 /month",unknown,internshala,2023-07-07,
2221986,Advanced PHP & Full Stack Development,Filium Enterprises Private Limited,"₹ 7,500 /month",unknown,internshala,2023-07-07,
2216395,Market Research And Database Management,MN Engineering Solutions,"₹ 8,000 /month",unknown,internshala,2023-07-07,
2203591,Java Backend Development,TrainingMug,"₹ 8,000 /month",unknown,internshala,2023-07-07,
2213738,Unity Game Development,IDZ Digital Private Limited,"₹ 8,000 /month",unknown,internshala,2023-07-07,
2215004,Software Product Development,Omnisys Solutions,"₹ 8,000 /month",unknown,internshala,2023-07-07,
2216725,Business Development (Sales),Primaone Solutions Private Limited,"₹ 8,000 /month +  Incentives",unknown,internshala,2023-07-07,
2223317,Flask Rest API Development,Corider,"₹ 2,000-5,000 /month",Few hours ago,internshala,2023-07-07,
2223659,Database Building/Management,Pratik Gupta Photography,"₹ 2,000 /month +  Incentives",Just now,internshala,2023-07-07,
2209583,Android Development,Accentec,"₹ 1,500 /month +  Incentives",unknown,internshala,2023-07-07,
2214966,Founding AI/ML Research Engineering,Sarath Chandra,"₹ 1,00,000-1,25,000 /month",unknown,internshala,2023-07-07,
2216492,Investment Banking,The Venture Guys,"₹ 1,000 /month +  Incentives",unknown,internshala,2023-07-07,
2223629,Computer Vision,Bambhari,"₹ 1,000 /month +  Incentives",Few hours ago,internshala,2023-07-07,
2222911,Flutter Development,INDIAN YOGA ASSOCIATION,Unpaid,Few hours ago,internshala,2023-07-07,
2190223,Java Spring Boot REST API Development,Arakoo.ai,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2212536,Software Development,Indicurate,"₹ 5,000 /month",2 days ago,internshala,2023-07-07,
2223164,Software Engineering,Developers Hive,"₹ 5,000 /month",Just now,internshala,2023-07-07,
2222708,Spring Boot,Larch Soft Private Limited,"₹ 4,000-6,000 /month",1 day ago,internshala,2023-07-07,
2223806,Front/Backend Development,SHN Advertising & Marketing,"₹ 4,000-6,000 /month",Just now,internshala,2023-07-07,
2223669,Flutter Development,Brand Kiln,"₹ 4,000 /month",Few hours ago,internshala,2023-07-07,
2223907,Electronics & Embedded System Engineering,RoomsVital Automation Solutions Private Limited,"₹ 3,000-10,000 /month",Just now,internshala,2023-07-07,
2221501,Ecommerce Sales & Marketing,The Indi-Mums Limited,"₹ 3,000-5,000 /month",2 days ago,internshala,2023-07-07,
2216911,Data Entry,Garmin Express Updater,"₹ 3,000 /month",unknown,internshala,2023-07-07,
2218212,Full Stack Development,PSI Energy,"₹ 3,000 /month",unknown,internshala,2023-07-07,
2223045,Cloud Sales,Hidecible Office Systems,"₹ 5,000 /month",Few hours ago,internshala,2023-07-07,
2195009,Teaching (Good Knowledge On Digital Marketing/Java Full Stack Development),Crusader Works,"₹ 5,000 /month",2 days ago,internshala,2023-07-07,
2220692,Shopify Development,Axe Consultancy And Security Services LLC,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2219034,Email Marketing,Lawtech,"₹ 5,000-7,000 /month",unknown,internshala,2023-07-07,
2218987,Full Stack Web Development,Nishant Sah,"₹ 5,000-15,000 /month",unknown,internshala,2023-07-07,
2215317,Website Development,Veenam Jain,"₹ 5,000-12,000 /month",unknown,internshala,2023-07-07,
2224215,Web Application,A2Z Assist,"₹ 6,000 /month",Just now,internshala,2023-07-07,
2223602,PHP Development,OyeLabs,"₹ 5,000-10,000 /month",unknown,internshala,2023-07-07,
2215289,Node.js Development,OyeLabs,"₹ 5,000-10,000 /month",unknown,internshala,2023-07-07,
2215282,React Native Development,OyeLabs,"₹ 5,000-10,000 /month",unknown,internshala,2023-07-07,
2195644,Unreal Engine Blueprint C++ Programming,MB Softech Consultants,"₹ 7,000-20,000 /month",unknown,internshala,2023-07-07,
2222058,Online Teaching (Angular),CodingZen,"₹ 8,000-15,000 /month",unknown,internshala,2023-07-07,
2221471,PHP Backend Development,Quantum IT Innovation,"₹ 8,000-15,000 /month",unknown,internshala,2023-07-07,
2221082,Renewable Energy Operations,Inspire Clean Energy,"₹ 9,000 /month",unknown,internshala,2023-07-07,
2225852,Web Development (Node.js),Omikron Technologies Private Limited,"₹ 10,000 /month",1 day ago,internshala,2023-07-07,
2227061,Backend Development (Laravel),Omikron Technologies Private Limited,"₹ 10,000 /month",Few hours ago,internshala,2023-07-07,
2198508,Tech & Design,Anubava,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2208983,QA Engineering,StudyMonk,"₹ 10,000-12,000 /month",unknown,internshala,2023-07-07,
2209050,IT Consulting,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209055,Information Security,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209088,ReactJS Development,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209091,JavaScript Development,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209045,System Analysis,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2208952,Internet Of Things (IoT),StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2208694,Embedded Systems,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2219835,Cloud Computing,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2219836,Cyber Security,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2208693,Arduino Engineering,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
